Submitted at,Which chapters of Refactoring English do you plan to read? [Get to the Point],Which chapters of Refactoring English do you plan to read? [Write Blog Posts that Developers Read],Which chapters of Refactoring English do you plan to read? [Good vs. Bad Content Marketing],Which chapters of Refactoring English do you plan to read? [Write Emails with Less Noise and Better Results],Which chapters of Refactoring English do you plan to read? [Rules for Writing Software Tutorials],Which chapters of Refactoring English do you plan to read? [Write Useful Commit Messages],Which chapters of Refactoring English do you plan to read? [How to Write Compelling Software Release Announcements],Which chapters of Refactoring English do you plan to read? [Write Effective Design Documents],Which chapters of Refactoring English do you plan to read? [Make Your Writing Sound Natural],Which chapters of Refactoring English do you plan to read? [Fine-Tuning Your Writing],Which chapters of Refactoring English do you plan to read? [Maintaining Motivation],Which chapters of Refactoring English do you plan to read? [Resources to Improve Your Writing]
2025-08-15 14:32:46,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 14:36:12,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read
2025-08-15 14:36:37,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🤩 Definitely will read
2025-08-15 14:41:22,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🙂 Will probably read
2025-08-15 14:42:01,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 14:53:43,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,👎 Definitely won't read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-15 14:54:20,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read
2025-08-15 15:03:01,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-15 15:07:37,🤔 Might read,🤔 Might read,👎 Definitely won't read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read
2025-08-15 15:30:46,🤔 Might read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 15:30:51,🤩 Definitely will read,👎 Definitely won't read,👎 Definitely won't read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 15:42:43,🤔 Might read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 15:44:27,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read
2025-08-15 15:45:22,,🙂 Will probably read,🙂 Will probably read,,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read
2025-08-15 15:52:17,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 15:59:59,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 16:02:09,🙂 Will probably read,👎 Definitely won't read,👎 Definitely won't read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-15 16:04:08,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read
2025-08-15 16:08:31,🙂 Will probably read,🙂 Will probably read,🤔 Might read,👎 Definitely won't read,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read
2025-08-15 16:13:44,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 16:14:57,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,👎 Definitely won't read,🤔 Might read
2025-08-15 16:18:49,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read
2025-08-15 16:35:10,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,👎 Definitely won't read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read
2025-08-15 16:44:30,🤔 Might read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 16:45:27,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,,🙂 Will probably read,🤔 Might read
2025-08-15 16:58:22,🙂 Will probably read,🤔 Might read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 17:08:18,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,👎 Definitely won't read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-15 17:14:05,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤔 Might read,👎 Definitely won't read,🙂 Will probably read
2025-08-15 17:18:03,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,👎 Definitely won't read,🙂 Will probably read
2025-08-15 17:27:51,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,,🤔 Might read,🤔 Might read
2025-08-15 18:03:26,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read
2025-08-15 18:10:25,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read
2025-08-15 18:41:12,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 18:53:10,🙂 Will probably read,🙂 Will probably read,👎 Definitely won't read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-15 19:00:21,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read
2025-08-15 19:15:22,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤔 Might read
2025-08-15 19:49:00,🤔 Might read,🙂 Will probably read,🙂 Will probably read,👎 Definitely won't read,👎 Definitely won't read,👎 Definitely won't read,👎 Definitely won't read,👎 Definitely won't read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read
2025-08-15 20:08:04,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 20:31:54,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-15 21:30:32,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,👎 Definitely won't read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-15 22:00:46,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read
2025-08-15 23:40:19,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read
2025-08-16 00:12:01,🤔 Might read,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤔 Might read
2025-08-16 01:59:36,🤩 Definitely will read,👎 Definitely won't read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read
2025-08-16 03:30:29,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,,🙂 Will probably read
2025-08-16 03:38:37,,🤔 Might read,🙂 Will probably read,👎 Definitely won't read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-16 05:11:33,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read
2025-08-16 07:37:51,🤔 Might read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-16 07:37:57,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,👎 Definitely won't read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-16 08:15:17,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,👎 Definitely won't read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read
2025-08-16 11:38:55,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read
2025-08-16 12:54:45,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-16 17:10:16,🤔 Might read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤔 Might read,👎 Definitely won't read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read
2025-08-16 20:08:05,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🤔 Might read
2025-08-16 21:18:04,🙂 Will probably read,🤩 Definitely will read,👎 Definitely won't read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read
2025-08-16 21:45:08,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read
2025-08-17 01:39:08,🤩 Definitely will read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,👎 Definitely won't read,🤔 Might read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read
2025-08-17 06:53:21,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-17 11:11:22,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read
2025-08-17 15:47:54,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,,,👎 Definitely won't read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read
2025-08-17 18:40:20,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-17 22:47:32,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read,👎 Definitely won't read,👎 Definitely won't read,👎 Definitely won't read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read
2025-08-17 23:31:04,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,👎 Definitely won't read,🙂 Will probably read
2025-08-18 01:55:10,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read
2025-08-18 07:17:16,,🤩 Definitely will read,,,,👎 Definitely won't read,🤩 Definitely will read,,🤩 Definitely will read,🤩 Definitely will read,,🤩 Definitely will read
2025-08-18 07:17:21,,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-18 10:10:18,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤔 Might read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read
2025-08-18 12:45:33,🙂 Will probably read,👎 Definitely won't read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,👎 Definitely won't read,👎 Definitely won't read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤔 Might read
2025-08-18 19:54:16,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read
2025-08-18 20:35:59,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-18 21:05:58,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,👎 Definitely won't read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,👎 Definitely won't read
2025-08-19 13:18:05,🙂 Will probably read,🤔 Might read,,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read
2025-08-19 15:14:48,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🙂 Will probably read
2025-08-19 18:29:37,🤩 Definitely will read,🤔 Might read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤩 Definitely will read,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read
2025-08-19 19:32:58,🤩 Definitely will read,🤩 Definitely will read,🙂 Will probably read,🤔 Might read,🤩 Definitely will read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🙂 Will probably read,🤔 Might read,🤔 Might read,🙂 Will probably read
